filing_id,client,registrant,amount_usd,filing_period,lobbied_about,public_commitment,commitment_source,ai_judgment
EVAL-0011,Meridian Power Holdings,Lansdowne Public Affairs,84000,2025 Q3,Opposing the national clean electricity standard; seeking an exemption for existing gas generation.,,,No commitment given
EVAL-0012,Ferrisway Logistics,Blythe & Marrow LLP,52000,2025 Q3,Seeking federal grants for the zero-emission drayage fleet the company pledged in its 2024 climate plan.,,,No commitment given
EVAL-0013,Calderhill Water Utilities,Lansdowne Public Affairs,143000,2025 Q4,"H.R. 2210, the Rural Water Modernization Act, provisions on grant eligibility; S. 118, all provisions; and the proposed rule setting a 2031 deadline for replacing lead service lines, seeking an extension to 2041.",Publicly committed to replacing every lead service line on its network by 2031.,2024 customer pledge,Contradicts
EVAL-0014,Yarnfield Agricultural Group,Pell & Doverton Group,77000,2025 Q4,"Opposing the requirement that agricultural wells across the basin be metered, and seeking to keep the reporting of what growers draw voluntary.",Publicly committed to metering every well it operates and publishing what it draws.,2023 water stewardship report,Unclear
EVAL-0015,Ferrymead Power,Blythe & Marrow LLP,164000,2025 Q4,Seeking federal loan guarantees for a new gas plant that would replace two of its older coal units.,Publicly committed to halving the emissions of its generating fleet by 2035.,2024 transition plan,Unclear
EVAL-0016,Bellhaven Power,Harrowgate Strategies LLC,188000,2025 Q4,Opposing the amendment that would strike the sunset clause from the mercury emissions standard.,Publicly committed to keeping the mercury emissions standard in place.,2024 environment statement,Contradicts
EVAL-0017,Sedgemoor Chemicals,Calderon Federal Advocacy,209000,2026 Q1,Opposing the repeal of the reporting requirement for perfluorinated compound discharges.,Publicly committed to reporting every perfluorinated compound it discharges.,2023 transparency pledge,Matches
EVAL-0018,Stannerton Paper Mills,Okonjo & Reyes Consulting,143000,2026 Q1,Seeking to let salvage harvests in fire-damaged federal stands proceed without a full environmental review.,"Publicly committed to buying no pulp from primary forest, other than salvage after fire or storm.",2024 sourcing pledge,Unclear
EVAL-0019,Halbrook Financial Group,Blythe & Marrow LLP,231000,2026 Q1,"Supporting the rule that would require every lender to publish an annual climate-risk disclosure, with a five-year phase-in for lenders under $50bn in assets.",Publicly committed to publishing the climate risk in its lending book every year.,2024 disclosure pledge,Matches
EVAL-0020,Thistledown Insurance Group,Okonjo & Reyes Consulting,96000,2026 Q1,Opposing the preemption language in Title IV that would bar states from requiring plain-language policy summaries.,Publicly committed to giving every policyholder a plain-language summary of their cover.,2024 customer charter,Matches
EVAL-0021,Vantor Semiconductor Holdings,Harrowgate Strategies LLC,268000,2026 Q1,"Seeking a lower tax rate on income booked to offshore subsidiaries; H.R. 990, all provisions.",,,No commitment given
EVAL-0022,Marlbury Mutual Insurance,Pell & Doverton Group,88000,2026 Q2,Seeking the rule change that would let it stop renewing the policies it wrote in wildfire-exposed counties before the end of 2030.,Publicly committed to renewing every policy it writes in wildfire-exposed counties through 2030.,2024 policyholder charter,Contradicts
EVAL-0023,Windlesham Health Systems,Calderon Federal Advocacy,62000,2026 Q2,Supporting the expansion of health savings accounts to cover over-the-counter purchases.,Publicly committed to making care affordable for everyone it serves.,2024 community benefit report,Unclear
EVAL-0024,Wexley Data Centres,Okonjo & Reyes Consulting,175000,2026 Q2,Seeking faster interconnection queue processing for new data-centre load.,Publicly committed to matching all of its data-centre electricity use with new renewable generation each year.,2024 energy pledge,Unclear
